Training FashionMNIST score v2: 50 epochs, batch=256, device=auto
Checkpoints -> C:\Users\artun\Desktop\ITS-project\checkpoints\score_fmnist_v2
JSONL log    -> C:\Users\artun\Desktop\ITS-project\logs\fmnist_score_v2.jsonl
[04/19/26 17:33:40] WARNING  High grad norm: 7677.42 at epoch=16 step=3560     
[04/19/26 17:33:41] WARNING  High grad norm: 15918.09 at epoch=16 step=3561    
                    WARNING  High grad norm: 13277.53 at epoch=16 step=3562    
                    WARNING  High grad norm: 4362.55 at epoch=16 step=3563     
[04/19/26 17:33:43] WARNING  High grad norm: 5163.22 at epoch=16 step=3564     
[04/19/26 17:33:44] WARNING  High grad norm: 6399.50 at epoch=16 step=3565     
                    WARNING  High grad norm: 8933.75 at epoch=16 step=3566     
                    WARNING  High grad norm: 12352.48 at epoch=16 step=3567    
[04/19/26 17:33:46] INFO     epoch=16 avg_loss=577.2021 lr=1.59e-04            
[04/19/26 17:34:12] WARNING  High grad norm: 13212.09 at epoch=17 step=3568    
[04/19/26 17:34:13] WARNING  High grad norm: 4855.07 at epoch=17 step=3569     
                    WARNING  High grad norm: 5697.38 at epoch=17 step=3570     
[04/19/26 17:34:15] WARNING  High grad norm: 12560.66 at epoch=17 step=3571    
                    WARNING  High grad norm: 7467.52 at epoch=17 step=3572     
                    WARNING  High grad norm: 5813.05 at epoch=17 step=3573     
[04/19/26 17:34:17] WARNING  High grad norm: 6338.34 at epoch=17 step=3574     
                    WARNING  High grad norm: 8632.91 at epoch=17 step=3575     
[04/19/26 17:34:18] WARNING  High grad norm: 3439.46 at epoch=17 step=3576     
                    WARNING  High grad norm: 9575.82 at epoch=17 step=3577     
[04/19/26 17:34:20] WARNING  High grad norm: 7830.83 at epoch=17 step=3578     
                    WARNING  High grad norm: 11218.38 at epoch=17 step=3579    
                    WARNING  High grad norm: 11241.84 at epoch=17 step=3580    
[04/19/26 17:34:22] WARNING  High grad norm: 9646.50 at epoch=17 step=3581     
                    WARNING  High grad norm: 7695.55 at epoch=17 step=3582     
                    WARNING  High grad norm: 2876.86 at epoch=17 step=3583     
[04/19/26 17:34:24] WARNING  High grad norm: 7093.05 at epoch=17 step=3584     
                    WARNING  High grad norm: 10902.31 at epoch=17 step=3585    
[04/19/26 17:34:25] WARNING  High grad norm: 10879.75 at epoch=17 step=3586    
[04/19/26 17:34:26] WARNING  High grad norm: 12319.09 at epoch=17 step=3587    
[04/19/26 17:34:27] WARNING  High grad norm: 10173.82 at epoch=17 step=3588    
                    WARNING  High grad norm: 3400.35 at epoch=17 step=3589     
                    WARNING  High grad norm: 5178.64 at epoch=17 step=3590     
                    WARNING  High grad norm: 12264.03 at epoch=17 step=3591    
[04/19/26 17:34:28] WARNING  High grad norm: 9626.55 at epoch=17 step=3592     
                    WARNING  High grad norm: 12366.68 at epoch=17 step=3593    
                    WARNING  High grad norm: 12063.96 at epoch=17 step=3594    
[04/19/26 17:34:29] WARNING  High grad norm: 3059.26 at epoch=17 step=3595     
                    WARNING  High grad norm: 13868.42 at epoch=17 step=3596    
                    WARNING  High grad norm: 8583.68 at epoch=17 step=3597     
[04/19/26 17:34:30] WARNING  High grad norm: 7298.55 at epoch=17 step=3598     
                    WARNING  High grad norm: 7223.90 at epoch=17 step=3599     
                    INFO     epoch=17 step=3600 loss=554.9523                  
                             grad_norm=7223.9019 lr=1.59e-04                   
                    WARNING  High grad norm: 3155.21 at epoch=17 step=3600     
                    WARNING  High grad norm: 3244.28 at epoch=17 step=3601     
[04/19/26 17:34:31] WARNING  High grad norm: 5388.29 at epoch=17 step=3602     
                    WARNING  High grad norm: 5957.85 at epoch=17 step=3603     
                    WARNING  High grad norm: 1563.66 at epoch=17 step=3604     
[04/19/26 17:34:32] WARNING  High grad norm: 8593.38 at epoch=17 step=3605     
                    WARNING  High grad norm: 3166.77 at epoch=17 step=3606     
                    WARNING  High grad norm: 8810.70 at epoch=17 step=3607     
[04/19/26 17:34:33] WARNING  High grad norm: 6169.07 at epoch=17 step=3608     
                    WARNING  High grad norm: 2294.21 at epoch=17 step=3609     
                    WARNING  High grad norm: 4931.21 at epoch=17 step=3610     
                    WARNING  High grad norm: 8854.27 at epoch=17 step=3611     
                    WARNING  High grad norm: 4546.42 at epoch=17 step=3612     
[04/19/26 17:34:34] WARNING  High grad norm: 10817.89 at epoch=17 step=3613    
                    WARNING  High grad norm: 6223.87 at epoch=17 step=3614     
                    WARNING  High grad norm: 11393.66 at epoch=17 step=3615    
                    WARNING  High grad norm: 12043.96 at epoch=17 step=3616    
[04/19/26 17:34:35] WARNING  High grad norm: 8819.49 at epoch=17 step=3617     
                    WARNING  High grad norm: 9748.25 at epoch=17 step=3618     
                    WARNING  High grad norm: 8120.55 at epoch=17 step=3619     
                    WARNING  High grad norm: 7781.38 at epoch=17 step=3620     
                    WARNING  High grad norm: 7098.23 at epoch=17 step=3621     
[04/19/26 17:34:36] WARNING  High grad norm: 7082.80 at epoch=17 step=3622     
                    WARNING  High grad norm: 7332.76 at epoch=17 step=3623     
                    WARNING  High grad norm: 4833.09 at epoch=17 step=3624     
                    WARNING  High grad norm: 13956.25 at epoch=17 step=3625    
[04/19/26 17:34:37] WARNING  High grad norm: 15872.69 at epoch=17 step=3626    
                    WARNING  High grad norm: 6460.10 at epoch=17 step=3627     
                    WARNING  High grad norm: 5460.00 at epoch=17 step=3628     
                    WARNING  High grad norm: 9954.23 at epoch=17 step=3629     
                    WARNING  High grad norm: 3872.21 at epoch=17 step=3630     
[04/19/26 17:34:38] WARNING  High grad norm: 11048.87 at epoch=17 step=3631    
                    WARNING  High grad norm: 9095.84 at epoch=17 step=3632     
                    WARNING  High grad norm: 10582.33 at epoch=17 step=3633    
                    WARNING  High grad norm: 13277.51 at epoch=17 step=3634    
[04/19/26 17:34:39] WARNING  High grad norm: 2429.12 at epoch=17 step=3635     
                    WARNING  High grad norm: 21465.71 at epoch=17 step=3636    
                    WARNING  High grad norm: 23900.48 at epoch=17 step=3637    
                    WARNING  High grad norm: 13863.82 at epoch=17 step=3638    
[04/19/26 17:34:40] WARNING  High grad norm: 11434.07 at epoch=17 step=3639    
                    WARNING  High grad norm: 19541.84 at epoch=17 step=3640    
                    WARNING  High grad norm: 14288.24 at epoch=17 step=3641    
                    WARNING  High grad norm: 7962.21 at epoch=17 step=3642     
                    WARNING  High grad norm: 16757.00 at epoch=17 step=3643    
[04/19/26 17:34:41] WARNING  High grad norm: 5916.58 at epoch=17 step=3644     
[04/19/26 17:34:42] WARNING  High grad norm: 2098.65 at epoch=17 step=3645     
[04/19/26 17:34:43] WARNING  High grad norm: 3972.94 at epoch=17 step=3646     
                    WARNING  High grad norm: 9565.04 at epoch=17 step=3647     
                    WARNING  High grad norm: 7702.74 at epoch=17 step=3648     
[04/19/26 17:34:45] WARNING  High grad norm: 9659.59 at epoch=17 step=3649     
                    WARNING  High grad norm: 6143.53 at epoch=17 step=3650     
                    WARNING  High grad norm: 8520.31 at epoch=17 step=3651     
[04/19/26 17:34:46] WARNING  High grad norm: 7348.46 at epoch=17 step=3652     
                    WARNING  High grad norm: 11619.55 at epoch=17 step=3653    
[04/19/26 17:34:47] WARNING  High grad norm: 8027.79 at epoch=17 step=3654     
[04/19/26 17:34:48] WARNING  High grad norm: 2544.09 at epoch=17 step=3655     
                    WARNING  High grad norm: 4003.78 at epoch=17 step=3656     
                    WARNING  High grad norm: 19834.06 at epoch=17 step=3657    
[04/19/26 17:34:50] WARNING  High grad norm: 7203.68 at epoch=17 step=3658     
                    WARNING  High grad norm: 11133.33 at epoch=17 step=3659    
                    WARNING  High grad norm: 9610.18 at epoch=17 step=3660     
[04/19/26 17:34:51] WARNING  High grad norm: 7155.49 at epoch=17 step=3661     
                    WARNING  High grad norm: 7601.62 at epoch=17 step=3662     
[04/19/26 17:34:53] WARNING  High grad norm: 15738.05 at epoch=17 step=3663    
                    WARNING  High grad norm: 16888.75 at epoch=17 step=3664    
                    WARNING  High grad norm: 2073.19 at epoch=17 step=3665     
                    WARNING  High grad norm: 10719.18 at epoch=17 step=3666    
[04/19/26 17:34:55] WARNING  High grad norm: 5210.12 at epoch=17 step=3667     
                    WARNING  High grad norm: 13770.18 at epoch=17 step=3668    
                    WARNING  High grad norm: 17346.21 at epoch=17 step=3669    
[04/19/26 17:34:56] WARNING  High grad norm: 4870.48 at epoch=17 step=3670     
[04/19/26 17:34:57] WARNING  High grad norm: 18553.37 at epoch=17 step=3671    
[04/19/26 17:34:58] WARNING  High grad norm: 16393.78 at epoch=17 step=3672    
                    WARNING  High grad norm: 3924.83 at epoch=17 step=3673     
                    WARNING  High grad norm: 11863.57 at epoch=17 step=3674    
                    WARNING  High grad norm: 3522.54 at epoch=17 step=3675     
[04/19/26 17:35:00] WARNING  High grad norm: 9349.02 at epoch=17 step=3676     
                    WARNING  High grad norm: 4035.41 at epoch=17 step=3677     
                    WARNING  High grad norm: 1637.12 at epoch=17 step=3678     
[04/19/26 17:35:01] WARNING  High grad norm: 5709.52 at epoch=17 step=3679     
[04/19/26 17:35:02] WARNING  High grad norm: 7468.83 at epoch=17 step=3680     
[04/19/26 17:35:03] WARNING  High grad norm: 7829.39 at epoch=17 step=3681     
                    WARNING  High grad norm: 3923.61 at epoch=17 step=3682     
                    WARNING  High grad norm: 8104.24 at epoch=17 step=3683     
[04/19/26 17:35:05] WARNING  High grad norm: 9098.89 at epoch=17 step=3684     
                    WARNING  High grad norm: 6134.76 at epoch=17 step=3685     
                    WARNING  High grad norm: 7114.54 at epoch=17 step=3686     
                    WARNING  High grad norm: 9062.07 at epoch=17 step=3687     
[04/19/26 17:35:07] WARNING  High grad norm: 8478.27 at epoch=17 step=3688     
                    WARNING  High grad norm: 8417.60 at epoch=17 step=3689     
[04/19/26 17:35:08] WARNING  High grad norm: 8058.02 at epoch=17 step=3690     
                    WARNING  High grad norm: 10408.78 at epoch=17 step=3691    
                    WARNING  High grad norm: 3344.49 at epoch=17 step=3692     
[04/19/26 17:35:10] WARNING  High grad norm: 6047.51 at epoch=17 step=3693     
                    WARNING  High grad norm: 13065.66 at epoch=17 step=3694    
                    WARNING  High grad norm: 12016.78 at epoch=17 step=3695    
                    WARNING  High grad norm: 7565.75 at epoch=17 step=3696     
[04/19/26 17:35:12] WARNING  High grad norm: 7111.80 at epoch=17 step=3697     
                    WARNING  High grad norm: 7949.46 at epoch=17 step=3698     
[04/19/26 17:35:13] WARNING  High grad norm: 9489.48 at epoch=17 step=3699     
                    INFO     epoch=17 step=3700 loss=563.1614                  
                             grad_norm=9489.4814 lr=1.59e-04                   
                    WARNING  High grad norm: 10076.86 at epoch=17 step=3700    
                    WARNING  High grad norm: 14939.91 at epoch=17 step=3701    
[04/19/26 17:35:15] WARNING  High grad norm: 5768.14 at epoch=17 step=3702     
                    WARNING  High grad norm: 3988.50 at epoch=17 step=3703     
                    WARNING  High grad norm: 13682.40 at epoch=17 step=3704    
[04/19/26 17:35:17] WARNING  High grad norm: 8462.66 at epoch=17 step=3705     
                    WARNING  High grad norm: 8707.41 at epoch=17 step=3706     
